id	lemma	definition	class
344	Paget's disease	osteitis, a disease of bone occurring in the middle aged and elderly; excessive bone destruction sometimes leading to bone pain and fractures and skeletal deformities	1
345	pan gravy	juice, the seasoned but not thickened juices that drip from cooking meats; often a little water is added	1
346	parental leave	leave, Parental leave or family leave is an employee benefit available in almost all countries that provides paid time off work to care for a child or make arrangements for the child's welfare	1
347	pea soup	soup, a thick soup made of dried peas (usually made into a puree)	1
348	pencil sharpener	sharpener, a rotary implement for sharpening the point on pencils	1
349	periodic motion	movement, motion that recurs over and over and the period of time required for each recurrence remains the same	1
350	phrase book	book, a book containing common expressions in a foreign language along with their translations	1
351	plastic art	art, the arts of shaping or modeling; carving and sculpture	1
352	pressure group	political unit, interest, an interest group that tries to influence legislators or bureaucrats to act in their favor, typically through lobbying	1
353	quartz clock	clock, a clock that uses an electronic oscillator that is regulated by a quartz crystal to keep time	1
354	race riot	riot, a riot caused by hatred for one another of members of different races in the same community	1
355	real income	income, income of individuals or nations after adjusting for inflation	1
356	rectus inferior	ocular muscle, the ocular muscle whose contraction turns the eyeball down and medially	1
357	regional anesthesia	anesthesia, loss of sensation in a region of the body produced by application of an anesthetic agent to all the nerves supplying that region (as when an epidural anesthetic is administered to the pelvic region during childbirth)	1
358	ruby spinel	spinel, a spinel used as a gemstone (usually dark red)	1
359	sally out	depart, set out in a sudden, energetic or violent manner	1
360	secular games	celebration, the centennial rites and games of ancient Rome that marked the commencement of a new generation (100 years representing the longest life in a generation); observances may have begun as early as the 5th century BC and lasted well into the Christian era	1
361	sell out	discard, sell or get rid of all one's merchandise	1
362	signal box	building, a building from which signals are sent to control the movements of railway trains	1
363	signal-to-noise ratio	ratio, the ratio of signal intensity to noise intensity	1
364	single quote	quotation mark, a single quotation mark	1
365	sleeping car	passenger car, a passenger car that has berths for sleeping	1
366	spoils system	system, the system of employing and promoting civil servants who are friends and supporters of the group in power	1
367	spoon bread	cornbread, soft bread made of cornmeal and sometimes rice or hominy; must be served with a spoon (chiefly southern)	1
368	squeak by	pass, escape	1
369	squeeze out	displace, force out	1
370	stand up	survive, resist or withstand wear, criticism, etc.	1
371	stick to	persevere, keep to	1
372	strike out	take away, remove from a list	1
373	T-bar lift	surface lift, a surface lift where riders hold a bar and are pulled up the hill on their skis	1
374	take back	take, regain possession of something	1
375	take shape	become, develop into a distinctive entity	1
376	terra incognita	knowledge domain, an unknown or unexplored field of knowledge	1
377	thyroid gland	endocrine gland, located near the base of the neck	1
378	title page	page, a page of a book displaying the title and author and publisher	1
379	truck driver	driver, someone who drives a truck as an occupation	1
380	waffle iron	kitchen appliance, a kitchen appliance for baking waffles; the appliance usually consists of two indented metal pans hinged together so that they create a pattern on the waffle	1
381	waiting room	room, a room (as in a hotel or airport) with seating where people can wait	1
382	watering place	resort area, a health resort near a spring or at the seaside	1
383	watt second	work unit, a unit of electrical energy equal to the work done when a current of one ampere passes through a resistance of one ohm for one second	1
384	working class	class, a social class comprising those who do manual labor or work for wages	1
385	writing paper	paper, paper material made into thin sheets that are sized to take ink; used for writing correspondence and manuscripts	1
386	yard line	line, in football; line parallel to the goal lines indicating position on the field	1
